tree_id,xmin,ymin,xmax,ymax,label,score,geometry,crown_width_px,crown_height_px,crown_area_px
Tree_1,68.58015,2024.7363,965.9941,3017.3027,Tree,0.5633894,"POLYGON ((965.9940795898438 2024.736328125, 965.9940795898438 3017.302734375, 68.58014678955078 3017.302734375, 68.58014678955078 2024.736328125, 965.9940795898438 2024.736328125))",897.41394,992.5664,890742.94
Tree_2,0.0,688.9172,264.45193,1135.6824,Tree,0.4687073,"POLYGON ((264.4519348144531 688.9171752929688, 264.4519348144531 1135.682373046875, 0 1135.682373046875, 0 688.9171752929688, 264.4519348144531 688.9171752929688))",264.45193,446.7652,118147.92
Tree_3,1477.7012,250.51245,1775.0405,600.3206,Tree,0.45983878,"POLYGON ((1775.04052734375 250.512451171875, 1775.04052734375 600.3206176757812, 1477.701171875 600.3206176757812, 1477.701171875 250.512451171875, 1775.04052734375 250.512451171875))",297.33936,349.80817,104011.734
Tree_4,274.08762,98.00101,871.1496,665.6672,Tree,0.3274873,"POLYGON ((871.1495971679688 98.00100708007812, 871.1495971679688 665.6671752929688, 274.0876159667969 665.6671752929688, 274.0876159667969 98.00100708007812, 871.1495971679688 98.00100708007812))",597.062,567.66614,338931.88
Tree_5,3404.275,1515.1616,3981.551,2075.5217,Tree,0.30972067,"POLYGON ((3981.551025390625 1515.16162109375, 3981.551025390625 2075.521728515625, 3404.27490234375 2075.521728515625, 3404.27490234375 1515.16162109375, 3981.551025390625 1515.16162109375))",577.2761,560.3601,323482.5
Tree_6,2118.827,637.37,2557.7725,1167.4808,Tree,0.26837763,"POLYGON ((2557.7724609375 637.3699951171875, 2557.7724609375 1167.4808349609375, 2118.826904296875 1167.4808349609375, 2118.826904296875 637.3699951171875, 2557.7724609375 637.3699951171875))",438.94556,530.11084,232689.8
Tree_7,1012.14954,30.234653,1305.5541,317.25427,Tree,0.2521983,"POLYGON ((1305.5540771484375 30.23465347290039, 1305.5540771484375 317.2542724609375, 1012.1495361328125 317.2542724609375, 1012.1495361328125 30.23465347290039, 1305.5540771484375 30.23465347290039))",293.40454,287.01962,84212.86
Tree_8,2098.175,429.96057,2347.6155,679.9029,Tree,0.24410069,"POLYGON ((2347.615478515625 429.9605712890625, 2347.615478515625 679.9028930664062, 2098.175048828125 679.9028930664062, 2098.175048828125 429.9605712890625, 2347.615478515625 429.9605712890625))",249.44043,249.94232,62345.72
Tree_9,1482.5059,1.8246386,1858.0853,140.45424,Tree,0.18062569,"POLYGON ((1858.0853271484375 1.8246386051177979, 1858.0853271484375 140.45423889160156, 1482.505859375 140.45423889160156, 1482.505859375 1.8246386051177979, 1858.0853271484375 1.8246386051177979))",375.57947,138.6296,52066.43
Tree_10,3.684803,1290.5519,503.71072,1925.167,Tree,0.1684772,"POLYGON ((503.7107238769531 1290.5518798828125, 503.7107238769531 1925.1669921875, 3.684803009033203 1925.1669921875, 3.684803009033203 1290.5518798828125, 503.7107238769531 1290.5518798828125))",500.0259,634.6151,317324.0
Tree_11,2298.5486,0.0,2749.0808,190.57013,Tree,0.16765314,"POLYGON ((2749.080810546875 0, 2749.080810546875 190.57012939453125, 2298.548583984375 190.57012939453125, 2298.548583984375 0, 2749.080810546875 0))",450.53223,190.57013,85857.984
Tree_12,1087.1649,348.01483,1362.8239,639.0258,Tree,0.14561902,"POLYGON ((1362.8238525390625 348.01483154296875, 1362.8238525390625 639.0258178710938, 1087.1649169921875 639.0258178710938, 1087.1649169921875 348.01483154296875, 1362.8238525390625 348.01483154296875))",275.65894,291.011,80219.78
Tree_13,276.17032,936.5047,574.013,1243.5205,Tree,0.14148197,"POLYGON ((574.0130004882812 936.5046997070312, 574.0130004882812 1243.5205078125, 276.1703186035156 1243.5205078125, 276.1703186035156 936.5046997070312, 574.0130004882812 936.5046997070312))",297.84268,307.0158,91442.414
Tree_14,2935.9734,233.87332,3880.5813,1095.8331,Tree,0.13463354,"POLYGON ((3880.581298828125 233.87332153320312, 3880.581298828125 1095.8331298828125, 2935.973388671875 1095.8331298828125, 2935.973388671875 233.87332153320312, 3880.581298828125 233.87332153320312))",944.6079,861.95984,814214.06
