tree_id,bbox_x,bbox_y,bbox_w,bbox_h,area_px,max_height_m,mean_height_m,center_x_px,center_y_px
DINOV3_0001,3429,0,67,23,1227,6.34,3.26,3462,11
DINOV3_0002,4065,0,30,14,372,5.7,3.02,4080,7
DINOV3_0003,1,1,343,159,6080,inf,inf,172,80
DINOV3_0004,413,1,951,263,37280,inf,inf,888,132
DINOV3_0005,1049,1,315,123,7392,inf,inf,1206,62
DINOV3_0006,1390,1,623,19,3488,inf,inf,1701,10
DINOV3_0007,2066,1,555,379,90392,inf,inf,2343,190
DINOV3_0008,2614,1,27,7,144,inf,inf,2627,4
DINOV3_0009,2702,1,27,3,112,inf,inf,2715,2
DINOV3_0010,2514,1,1581,1152,558810,inf,inf,3304,577
DINOV3_0011,3779,1,316,367,24306,inf,inf,3937,184
DINOV3_0012,1257,21,67,79,3360,inf,inf,1290,60
DINOV3_0013,3851,25,27,27,512,inf,inf,3864,38
DINOV3_0014,3039,45,83,79,3840,inf,inf,3080,84
DINOV3_0015,2086,49,15,15,128,inf,inf,2093,56
DINOV3_0016,397,65,151,83,5312,inf,inf,472,106
DINOV3_0017,345,69,19,15,160,inf,inf,354,76
DINOV3_0018,725,69,39,15,384,inf,inf,744,76
DINOV3_0019,2074,69,19,19,288,inf,inf,2083,78
DINOV3_0020,3575,93,43,67,2032,inf,inf,3596,126
DINOV3_0021,1570,97,19,11,176,inf,inf,1579,102
DINOV3_0022,1277,109,47,31,928,inf,inf,1300,124
DINOV3_0023,1,121,4093,2949,2769060,inf,inf,2047,1595
DINOV3_0024,1514,121,71,91,4704,inf,inf,1549,166
DINOV3_0025,1646,129,107,135,10384,inf,inf,1699,196
DINOV3_0026,2098,129,19,27,432,inf,inf,2107,142
DINOV3_0027,3703,149,51,19,800,inf,inf,3728,158
DINOV3_0028,397,161,35,15,416,inf,inf,414,168
DINOV3_0029,3583,161,267,115,9056,inf,inf,3716,218
DINOV3_0030,3779,161,27,15,304,inf,inf,3792,168
DINOV3_0031,205,181,31,19,464,inf,inf,220,190
DINOV3_0032,3827,181,39,15,320,inf,inf,3846,188
DINOV3_0033,1366,201,671,203,21360,inf,inf,1701,302
DINOV3_0034,3903,245,79,67,2144,inf,inf,3942,278
DINOV3_0035,2237,256,12,10,104,1.16,1.06,2243,261
DINOV3_0036,2935,257,91,79,3584,inf,inf,2980,296
DINOV3_0037,981,261,55,19,480,inf,inf,1008,270
DINOV3_0038,3567,277,135,51,3216,inf,inf,3634,302
DINOV3_0039,3147,309,27,35,528,inf,inf,3160,326
DINOV3_0040,1914,325,47,27,464,inf,inf,1937,338
DINOV3_0041,101,389,35,27,656,inf,inf,118,402
DINOV3_0042,33,397,39,15,416,inf,inf,52,404
DINOV3_0043,2759,450,55,33,1156,2.43,1.52,2786,466
DINOV3_0044,3843,453,47,11,320,inf,inf,3866,458
DINOV3_0045,125,457,31,19,448,inf,inf,140,466
DINOV3_0046,1041,461,35,19,224,inf,inf,1058,470
DINOV3_0047,1742,473,51,19,704,inf,inf,1767,482
DINOV3_0048,2050,477,63,23,1008,inf,inf,2081,488
DINOV3_0049,2226,481,123,99,6048,inf,inf,2287,530
DINOV3_0050,1630,493,135,35,1632,inf,inf,1697,510
DINOV3_0051,1325,505,452,339,57828,inf,inf,1551,674
DINOV3_0052,2178,509,19,15,224,inf,inf,2187,516
DINOV3_0053,1618,521,31,11,320,inf,inf,1633,526
DINOV3_0054,1220,586,39,37,1214,3.24,2.07,1239,604
DINOV3_0055,2010,605,27,11,208,inf,inf,2023,610
DINOV3_0056,2178,613,191,99,7968,inf,inf,2273,662
DINOV3_0057,1978,629,27,11,224,inf,inf,1991,634
DINOV3_0058,2446,681,79,55,2192,inf,inf,2485,708
DINOV3_0059,1990,685,107,119,6624,inf,inf,2043,744
DINOV3_0060,1834,697,131,127,10912,inf,inf,1899,760
DINOV3_0061,1366,705,23,35,720,inf,inf,1377,722
DINOV3_0062,2118,713,19,7,128,inf,inf,2127,716
DINOV3_0063,2378,717,23,11,192,inf,inf,2389,722
DINOV3_0064,3603,765,491,1056,51376,inf,inf,3848,1293
DINOV3_0065,2218,785,39,19,560,inf,inf,2237,794
DINOV3_0066,3315,881,71,31,1536,inf,inf,3350,896
DINOV3_0067,2963,893,115,47,2624,inf,inf,3020,916
DINOV3_0068,3243,901,11,11,112,inf,inf,3248,906
DINOV3_0069,2602,936,83,78,4867,11.49,4.68,2643,975
