tree_id,xmin,ymin,xmax,ymax,class,layer,edge_clipped,confidence,note,label_name_as_exported,width_m,height_m,area_m2
1,90.0,140.0,178.0,234.0,live,canopy,0,certain,,tree,6.846400000000001,7.313200000000001,50.069092480000016
2,107.0,449.0,181.0,506.0,live,canopy,0,certain,,tree,5.757200000000001,4.4346000000000005,25.53087912000001
3,197.0,243.0,260.0,310.0,live,canopy,0,certain,,tree,4.901400000000001,5.2126,25.549037640000005
4,258.0,209.0,335.0,296.0,live,canopy,0,certain,,tree,5.990600000000001,6.768600000000001,40.54797516000001
5,294.0,157.0,372.0,245.0,live,canopy,0,certain,,tree,6.0684000000000005,6.846400000000001,41.54669376000001
6,379.0,264.0,475.0,336.0,live,canopy,0,certain,,tree,7.468800000000001,5.6016,41.837230080000005
7,385.0,190.0,451.0,264.0,live,canopy,0,certain,,tree,5.1348,5.757200000000001,29.562070560000006
8,263.0,638.0,333.0,709.0,live,canopy,0,certain,,tree,5.446000000000001,5.5238000000000005,30.082614800000005
9,162.0,614.0,251.0,688.0,live,canopy,0,certain,,tree,6.924200000000001,5.757200000000001,39.864004240000014
10,190.0,549.0,256.0,617.0,live,canopy,0,certain,,tree,5.1348,5.290400000000001,27.165145920000008
11,100.0,523.0,160.0,585.0,live,canopy,0,certain,,tree,4.668,4.823600000000001,22.516564800000005
12,134.0,735.0,212.0,852.0,live,canopy,0,certain,,tree,6.0684000000000005,9.1026,55.23821784000001
13,235.0,709.0,322.0,832.0,live,canopy,0,certain,,tree,6.768600000000001,9.569400000000002,64.77144084000003
14,475.0,577.0,684.0,801.0,live,canopy,0,certain,,tree,16.2602,17.427200000000003,283.36975744000006
15,583.0,835.0,688.0,970.0,live,canopy,0,certain,,tree,8.169,10.503000000000002,85.79900700000002
16,351.0,847.0,411.0,903.0,live,canopy,0,certain,,tree,4.668,4.356800000000001,20.337542400000004
17,425.0,801.0,520.0,913.0,live,canopy,0,certain,,tree,7.391000000000001,8.713600000000001,64.40221760000001
18,696.0,854.0,807.0,975.0,live,canopy,1,certain,,tree,8.635800000000001,9.4138,81.29569404000001
19,840.0,474.0,888.0,547.0,live,canopy,0,certain,,tree,3.7344000000000004,5.6794,21.209151360000003
20,857.0,420.0,905.0,470.0,live,canopy,0,certain,,tree,3.7344000000000004,3.8900000000000006,14.526816000000004
21,756.0,123.0,886.0,243.0,live,canopy,0,certain,,tree,10.114,9.336,94.424304
22,673.0,203.0,739.0,254.0,live,canopy,0,certain,,tree,5.1348,3.9678000000000004,20.373859440000004
23,714.0,237.0,773.0,304.0,live,canopy,0,certain,,tree,4.5902,5.2126,23.92687652
24,778.0,220.0,833.0,277.0,live,canopy,0,certain,,tree,4.279000000000001,4.4346000000000005,18.975653400000006
25,486.0,318.0,545.0,391.0,live,canopy,0,certain,,tree,4.5902,5.6794,26.06958188
26,577.0,429.0,629.0,497.0,live,canopy,0,certain,,tree,4.0456,5.290400000000001,21.402842240000005
27,640.0,388.0,700.0,470.0,live,canopy,0,certain,,tree,4.668,6.379600000000001,29.779972800000007
28,308.0,303.0,443.0,471.0,live,canopy,0,certain,,tree,10.503000000000002,13.070400000000001,137.27841120000005
29,251.0,393.0,400.0,549.0,live,canopy,0,certain,,tree,11.592200000000002,12.136800000000001,140.69221296000003
30,264.0,526.0,343.0,600.0,snag,canopy,0,certain,,snag,6.1462,5.757200000000001,35.38490264000001
31,205.0,64.0,290.0,168.0,snag,canopy,0,certain,,snag,6.613,8.0912,53.50710560000001
32,514.0,942.0,554.0,972.0,snag,canopy,0,certain,,snag,3.112,2.334,7.263408
33,502.0,907.0,545.0,946.0,snag,canopy,0,certain,,snag,3.3454,3.0342000000000002,10.150612680000002
34,272.0,866.0,343.0,953.0,live,canopy,0,certain,,tree,5.5238000000000005,6.768600000000001,37.38839268000001
35,356.0,915.0,427.0,967.0,live,canopy,0,certain,,tree,5.5238000000000005,4.0456,22.347085280000005
36,719.0,652.0,880.0,842.0,live,canopy,0,certain,,tree,12.525800000000002,14.782000000000002,185.15637560000005
37,885.0,596.0,975.0,740.0,live,canopy,1,certain,,tree,7.002000000000001,11.2032,78.44480640000002
38,858.0,886.0,904.0,948.0,live,canopy,0,certain,,tree,3.5788,4.823600000000001,17.262699680000004
39,896.0,474.0,953.0,526.0,live,canopy,0,certain,,tree,4.4346000000000005,4.0456,17.940617760000002
40,900.0,424.0,957.0,472.0,live,canopy,0,certain,,tree,4.4346000000000005,3.7344000000000004,16.560570240000004
41,832.0,257.0,953.0,364.0,live,canopy,0,certain,,tree,9.4138,8.3246,78.36611948000001
42,885.0,142.0,931.0,222.0,live,canopy,0,certain,,tree,3.5788,6.224,22.2744512
43,736.0,47.0,819.0,134.0,live,canopy,0,certain,,tree,6.457400000000001,6.768600000000001,43.70755764000001
