label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
tree,65,115,88,94,core_clean.png,950,950
tree,82,424,74,57,core_clean.png,950,950
tree,172,218,63,67,core_clean.png,950,950
tree,233,184,77,87,core_clean.png,950,950
tree,269,132,78,88,core_clean.png,950,950
tree,354,239,96,72,core_clean.png,950,950
tree,360,165,66,74,core_clean.png,950,950
tree,238,613,70,71,core_clean.png,950,950
tree,137,589,89,74,core_clean.png,950,950
tree,165,524,66,68,core_clean.png,950,950
tree,75,498,60,62,core_clean.png,950,950
tree,109,710,78,117,core_clean.png,950,950
tree,210,684,87,123,core_clean.png,950,950
tree,450,552,209,224,core_clean.png,950,950
tree,558,810,105,135,core_clean.png,950,950
tree,326,822,60,56,core_clean.png,950,950
tree,400,776,95,112,core_clean.png,950,950
tree,671,829,111,121,core_clean.png,950,950
tree,815,449,48,73,core_clean.png,950,950
tree,832,395,48,50,core_clean.png,950,950
tree,731,98,130,120,core_clean.png,950,950
tree,648,178,66,51,core_clean.png,950,950
tree,689,212,59,67,core_clean.png,950,950
tree,753,195,55,57,core_clean.png,950,950
tree,461,293,59,73,core_clean.png,950,950
tree,552,404,52,68,core_clean.png,950,950
tree,615,363,60,82,core_clean.png,950,950
tree,283,278,135,168,core_clean.png,950,950
tree,226,368,149,156,core_clean.png,950,950
snag,239,501,79,74,core_clean.png,950,950
snag,180,39,85,104,core_clean.png,950,950
snag,489,917,40,30,core_clean.png,950,950
snag,477,882,43,39,core_clean.png,950,950
tree,247,841,71,87,core_clean.png,950,950
tree,331,890,71,52,core_clean.png,950,950
tree,694,627,161,190,core_clean.png,950,950
tree,860,571,90,144,core_clean.png,950,950
tree,833,861,46,62,core_clean.png,950,950
tree,871,449,57,52,core_clean.png,950,950
tree,875,399,57,48,core_clean.png,950,950
tree,807,232,121,107,core_clean.png,950,950
tree,860,117,46,80,core_clean.png,950,950
tree,711,22,83,87,core_clean.png,950,950
tree,841,39,50,83,core_clean.png,950,950
tree,792,0,78,60,core_clean.png,950,950
tree,902,78,41,71,core_clean.png,950,950
tree,885,4,62,68,core_clean.png,950,950
tree,921,163,29,68,core_clean.png,950,950
tree,492,157,100,91,core_clean.png,950,950
tree,536,222,113,110,core_clean.png,950,950
tree,494,339,77,88,core_clean.png,950,950
tree,527,295,83,85,core_clean.png,950,950
tree,470,27,117,110,core_clean.png,950,950
tree,336,2,115,121,core_clean.png,950,950
tree,399,82,115,105,core_clean.png,950,950
tree,0,20,80,121,core_clean.png,950,950
tree,31,471,68,60,core_clean.png,950,950
tree,0,617,114,107,core_clean.png,950,950
tree,0,820,85,112,core_clean.png,950,950
tree,63,898,34,52,core_clean.png,950,950
tree,109,900,34,39,core_clean.png,950,950
tree,148,887,20,61,core_clean.png,950,950
tree,181,878,50,66,core_clean.png,950,950
snag,0,365,89,101,core_clean.png,950,950
understory,341,644,102,116,core_clean.png,950,950
understory,442,495,45,44,core_clean.png,950,950
understory,428,460,29,40,core_clean.png,950,950
understory,194,324,33,38,core_clean.png,950,950
understory,143,386,43,77,core_clean.png,950,950
understory,169,361,40,64,core_clean.png,950,950
understory,105,328,50,75,core_clean.png,950,950
understory,21,312,28,61,core_clean.png,950,950
understory,48,273,46,60,core_clean.png,950,950
understory,163,298,39,38,core_clean.png,950,950
understory,156,344,27,31,core_clean.png,950,950
understory,141,241,39,46,core_clean.png,950,950
understory,338,572,36,57,core_clean.png,950,950
understory,383,470,38,60,core_clean.png,950,950
understory,383,564,51,62,core_clean.png,950,950
understory,745,313,30,42,core_clean.png,950,950
understory,742,285,32,24,core_clean.png,950,950
tree,701,313,33,54,core_clean.png,950,950
tree,719,358,83,86,core_clean.png,950,950
tree,614,502,58,74,core_clean.png,950,950
tree,681,537,34,85,core_clean.png,950,950
tree,733,510,65,94,core_clean.png,950,950
tree,693,439,41,65,core_clean.png,950,950
tree,753,452,52,50,core_clean.png,950,950
tree,616,453,54,41,core_clean.png,950,950
understory,482,457,25,36,core_clean.png,950,950
tree,1,223,63,75,core_clean.png,950,950
uncertain,94,225,41,94,core_clean.png,950,950
uncertain,499,502,35,41,core_clean.png,950,950
uncertain,545,503,39,38,core_clean.png,950,950
uncertain,518,465,38,34,core_clean.png,950,950
uncertain,454,205,35,80,core_clean.png,950,950
uncertain,230,282,41,80,core_clean.png,950,950
uncertain,806,527,41,87,core_clean.png,950,950
uncertain,867,511,69,47,core_clean.png,950,950
uncertain,808,350,134,38,core_clean.png,950,950
snag,427,344,56,97,core_clean.png,950,950
tree,877,784,71,153,core_clean.png,950,950
tree,617,67,37,49,core_clean.png,950,950
tree,622,134,35,46,core_clean.png,950,950
tree,667,130,33,36,core_clean.png,950,950
tree,606,6,39,35,core_clean.png,950,950
uncertain,662,7,42,116,core_clean.png,950,950
uncertain,658,239,24,112,core_clean.png,950,950
snag,5,156,35,55,core_clean.png,950,950
snag,125,10,40,43,core_clean.png,950,950
