tree_id,xmin,ymin,xmax,ymax,class,layer,edge_clipped,confidence,note,label_name_as_exported,width_m,height_m,area_m2,n_detections_contained
1,90.0,140.0,178.0,234.0,live,canopy,0,certain,,tree,6.846400000000001,7.313200000000001,50.069092480000016,2
2,107.0,449.0,181.0,506.0,live,canopy,0,certain,,tree,5.757200000000001,4.4346000000000005,25.53087912000001,1
3,197.0,243.0,260.0,310.0,live,canopy,0,certain,,tree,4.901400000000001,5.2126,25.549037640000005,1
4,258.0,209.0,335.0,296.0,live,canopy,0,certain,,tree,5.990600000000001,6.768600000000001,40.54797516000001,1
5,294.0,157.0,372.0,245.0,live,canopy,0,certain,,tree,6.0684000000000005,6.846400000000001,41.54669376000001,2
6,379.0,264.0,475.0,336.0,live,canopy,0,certain,,tree,7.468800000000001,5.6016,41.837230080000005,1
7,385.0,190.0,451.0,264.0,live,canopy,0,certain,,tree,5.1348,5.757200000000001,29.56207056000001,1
8,263.0,638.0,333.0,709.0,live,canopy,0,certain,,tree,5.446000000000001,5.5238000000000005,30.082614800000005,1
9,162.0,614.0,251.0,688.0,live,canopy,0,certain,,tree,6.924200000000001,5.757200000000001,39.864004240000014,4
10,190.0,549.0,256.0,617.0,live,canopy,0,certain,,tree,5.1348,5.290400000000001,27.165145920000008,1
11,100.0,523.0,160.0,585.0,live,canopy,0,certain,,tree,4.668,4.823600000000001,22.516564800000005,2
12,134.0,735.0,212.0,852.0,live,canopy,0,certain,,tree,6.0684000000000005,9.1026,55.23821784000001,1
13,235.0,709.0,322.0,832.0,live,canopy,0,certain,,tree,6.768600000000001,9.569400000000002,64.77144084000003,4
14,475.0,577.0,684.0,801.0,live,canopy,0,certain,,tree,16.2602,17.427200000000003,283.36975744000006,12
15,583.0,835.0,688.0,970.0,live,canopy,0,certain,,tree,8.169,10.503000000000002,85.79900700000002,3
16,351.0,847.0,411.0,903.0,live,canopy,0,certain,,tree,4.668,4.356800000000001,20.337542400000004,1
17,425.0,801.0,520.0,913.0,live,canopy,0,certain,,tree,7.391000000000001,8.713600000000001,64.40221760000001,1
19,840.0,474.0,888.0,547.0,live,canopy,0,certain,,tree,3.7344,5.6794,21.209151360000003,2
