xmin,ymin,xmax,ymax,score,support,inside_any_annotation_set1,inside_any_annotation_set5
503.4303,907.47,537.61255,942.4978,0.8206118,16,False,True
225.67395,91.69504,282.1853,164.94083,0.81996304,16,False,True
118.407166,452.24268,172.95111,508.726,0.81293327,16,True,True
17.74945,252.16028,77.71268,316.32782,0.805174,16,False,True
531.86383,394.59998,588.449,449.78333,0.8049545,16,True,True
455.72308,153.85168,520.264,223.15198,0.8019233,16,True,True
281.29437,888.807,336.41125,947.89185,0.8017456,16,True,True
743.3165,75.0,810.2201,132.70792,0.79361236,16,True,True
644.4566,472.0224,698.0506,528.2958,0.7884957,16,True,True
487.95642,337.08313,539.92847,392.2854,0.7666958,16,True,True
268.29663,645.4896,326.15466,706.55286,0.765537,16,True,True
384.28137,204.29492,447.77686,264.7174,0.7588476,16,True,True
904.6959,483.7412,937.44275,518.65326,0.7513981,16,True,True
310.2555,176.94147,369.24695,238.52814,0.7507752,16,True,True
268.78345,223.87378,326.90338,285.03033,0.7498009,16,True,True
879.23315,91.478424,927.3329,138.10315,0.7438814,16,True,True
853.5117,886.2842,909.3424,942.6782,0.7308009,16,True,True
580.8596,439.6986,631.3818,492.10925,0.7264588,13,True,True
165.09912,44.62921,190.41943,71.15698,0.71917415,16,False,True
648.8885,542.67755,689.0835,582.5662,0.71211135,16,True,True
637.00287,409.28186,689.83673,461.29456,0.71087646,16,True,True
225.56073,260.87726,256.583,302.25446,0.69834626,16,True,True
936.22327,132.90625,979.1699,174.53357,0.69667685,16,True,True
101.26666,152.07034,175.21936,231.18726,0.69570285,16,True,True
234.98438,710.22473,295.2928,770.13403,0.69076985,16,True,True
178.84299,433.06055,218.56104,475.5581,0.67450696,16,False,True
788.98486,241.8808,823.62317,276.6316,0.6736507,16,True,True
23.99945,190.05728,61.768005,231.21387,0.665557,16,False,True
851.60645,497.7218,884.55786,533.76746,0.6652062,16,True,True
182.69531,626.94617,237.80212,683.93616,0.65835243,16,True,True
406.33966,264.66412,471.1101,332.33826,0.6407625,16,True,True
110.38104,528.1584,160.26373,581.24524,0.6310822,16,True,True
386.47205,888.78235,426.5287,928.68506,0.62629867,16,False,False
227.67236,355.14685,252.39557,380.2293,0.6244167,16,False,True
92.38995,960.73206,119.695496,988.66345,0.624213,13,False,True
349.21216,905.5515,387.35034,944.6603,0.6235147,16,True,True
359.92053,852.98315,400.63556,894.2887,0.6132948,16,True,True
513.2135,948.11707,539.70984,976.2927,0.6007582,16,False,True
702.15784,220.98572,727.02795,246.49646,0.59949845,16,True,True
571.80994,375.0,624.36584,403.8404,0.5987269,2,True,True
730.3137,257.01862,758.1074,286.00525,0.59554,16,True,True
453.4474,812.9264,514.24756,879.3922,0.589646,16,True,True
927.89417,467.4867,947.8883,488.7777,0.5808758,16,True,True
197.38211,556.0537,252.99146,612.90625,0.57898974,15,True,True
701.8275,574.484,738.7589,613.3519,0.57841355,16,True,True
812.3823,133.77109,858.68787,174.45499,0.5765085,12,True,True
760.7112,271.2115,783.7921,295.21234,0.5693684,16,True,True
123.56244,21.22699,142.80359,41.089478,0.56422573,16,False,False
235.43195,869.23804,273.09674,905.59766,0.5562369,16,False,False
169.71674,684.2885,190.66006,707.1057,0.55268216,16,False,False
364.6181,612.95355,395.21844,643.1937,0.5489654,16,False,True
27.0578,659.10486,67.01169,701.7384,0.5489364,16,False,True
718.9038,506.24316,760.76904,547.4702,0.54543805,16,True,True
41.771545,452.68408,77.052185,487.42047,0.5444023,16,False,True
278.32568,545.56354,330.02588,596.58704,0.5404095,11,False,True
482.70776,524.18365,507.75122,549.4716,0.5374082,16,False,True
456.76996,490.59546,479.00818,513.44116,0.53708076,16,False,True
450.55017,42.63321,510.62518,104.082855,0.5362343,10,False,False
132.65698,764.19226,211.59286,845.099,0.53508943,16,True,True
197.09973,333.8894,221.35803,358.1515,0.53435487,16,False,True
684.11597,795.95435,744.7129,855.38806,0.5334064,16,False,False
437.89746,396.2987,464.55945,425.18988,0.5312406,16,False,False
754.26855,551.8135,811.6245,613.45996,0.52806133,12,True,True
757.06213,397.56403,814.7793,459.79297,0.52143747,16,True,True
440.61615,928.817,467.4823,955.6067,0.5191592,16,False,False
843.35767,479.42786,860.05176,496.26172,0.5179065,16,True,True
331.8907,377.82764,415.73688,458.1206,0.51701623,6,True,True
865.8054,440.0174,902.9618,481.266,0.5145641,16,True,True
61.659546,507.22754,102.250244,548.5004,0.51418126,15,True,True
110.45532,46.92636,133.87311,71.15494,0.5058403,16,False,False
383.5177,79.00186,449.61133,138.52863,0.5050581,16,True,True
476.63306,110.805664,502.01367,137.55219,0.4914622,16,True,True
547.0636,664.9251,567.11017,686.0834,0.49070972,14,True,True
909.71765,155.0217,925.0,181.60718,0.48936158,4,True,True
371.65442,937.75354,419.41565,988.136,0.4835315,16,True,True
810.80835,376.5562,830.72314,397.1283,0.48106945,16,True,True
25.403992,147.17075,46.32193,169.89084,0.4765034,16,False,True
83.22177,675.0,129.96634,704.14246,0.47550434,13,False,True
889.14465,182.63605,925.0,227.08801,0.472966,2,True,True
887.3407,375.0,923.19604,392.69183,0.47241026,4,False,True
168.86758,196.98447,206.24136,238.00952,0.4723992,16,False,False
448.8001,958.71387,473.17865,982.90295,0.47187087,16,False,False
717.1328,882.4054,791.3203,964.25037,0.47109088,15,False,True
